Fold,Epoch,Train_CE_Loss,Train_P_Loss,Train_Sh_Loss,Train_Total_Loss,Val_CE_Loss,Val_P_Loss,Val_Sh_Loss,Val_Total_Loss,Val_Acc,Mean_IoU,IoU_Class0,P_Class0,R_Class0,F1_Class0,Support_Class0,IoU_Class1,P_Class1,R_Class1,F1_Class1,Support_Class1,IoU_Class2,P_Class2,R_Class2,F1_Class2,Support_Class2,IoU_Class3,P_Class3,R_Class3,F1_Class3,Support_Class3,IoU_Class4,P_Class4,R_Class4,F1_Class4,Support_Class4,IoU_Class5,P_Class5,R_Class5,F1_Class5,Support_Class5,IoU_Class6,P_Class6,R_Class6,F1_Class6,Support_Class6,IoU_Class7,P_Class7,R_Class7,F1_Class7,Support_Class7,IoU_Class8,P_Class8,R_Class8,F1_Class8,Support_Class8,IoU_Class9,P_Class9,R_Class9,F1_Class9,Support_Class9,Precision_Macro,Recall_Macro,F1_Macro,Precision_Micro,Recall_Micro,F1_Micro
1,50,0.2604836231589218,0,0,0.2604836231589218,0.4127552414764274,0,0,0.4127552414764274,0.108148198,0.031075823,0.014922043,0.016588638506391296,0.12932043367580304,0.029405298706291664,317011,0.1069656857649687,0.5376576223162879,0.11780127040337347,0.19325926203584176,10657245,0.068652585,0.25328324323696605,0.086073742,0.1284843839951506,5067887,0.005090673,0.005383903,0.085478602,0.010129778562949785,104377,0.000599381,0.000603269,0.085093223,0.001198044,11317,0.001649477,0.001682573,0.077370163,0.003293521,34755,0.029930108,0.043840999,0.086195949,0.058120658344007224,850446,0.001603943,0.001630915,0.088413028,0.00320275,32269,0.028561407532063713,0.035608511,0.12611762042899946,0.055536611,671516,0.05278293,0.088891959,0.11499662498361705,0.10027314986925215,1930361,0.098517163,0.099686066,0.058290345780409356,0.108148198,0.108148198,0.108148198
1,69,0.2199276277638792,0,0,0.2199276277638792,0.43076427269736295,0,0,0.43076427269736295,0.10784998503850958,0.031072856,0.015134763354960204,0.016843786558863812,0.1298030667705537,0.029818235,317011,0.10631868321537363,0.5370762424516421,0.1170446020524066,0.19220263533175086,10657245,0.069028543,0.2526134206159122,0.086744239,0.12914256253731748,5067887,0.005041367,0.005328264,0.085612731,0.010032158817067469,104377,0.000585924,0.000589681,0.084209596,0.001171162,11317,0.001665566,0.001698516,0.07906776,0.003325592,34755,0.029748863116278616,0.043448734404499895,0.086213587,0.057778870522373946,850446,0.001635316,0.001662655,0.090458335,0.003265292,32269,0.028514338,0.035623615,0.12501861459741836,0.055447624048306644,671516,0.053055199481017196,0.089908062,0.1146023982042737,0.1007643274676668,1930361,0.098479298,0.099877493,0.058294846,0.10784998503850958,0.10784998503850958,0.10784998503850958
1,24,0.3994480963799479,0,0,0.3994480963799479,0.4669174337813896,0,0,0.4669174337813896,0.10809087316559117,0.031071031,0.014688377702605478,0.016345510943388233,0.12654765922949046,0.028951504768118055,317011,0.1068989689049373,0.537295205,0.11773774554305545,0.19315036314595754,10657245,0.068261969,0.25069289226642827,0.085759608,0.1278000553402292,5067887,0.005078321,0.005368359,0.085919312,0.010105323887574891,104377,0.000571273,0.000574967,0.08164708,0.001141893,11317,0.00160107,0.001633046,0.075586247,0.003197021,34755,0.029578977181268222,0.043306765,0.085348158,0.057458394,850446,0.001568879,0.001595345,0.086398711,0.003132843,32269,0.028700914515611003,0.035801296,0.12641992149107392,0.055800309,671516,0.05376156,0.090846041,0.11637356950332088,0.10203742821330826,1930361,0.098345943,0.098773801,0.058277513534618575,0.10809087316559117,0.10809087316559117,0.10809087316559117
1,37,0.33378080554697337,0,0,0.33378080554697337,0.5037560158476643,0,0,0.5037560158476643,0.10804594803809325,0.031069801,0.015215490701766303,0.01691654,0.13142761607641376,0.029974898612409106,317011,0.10708884089797886,0.5377240365311571,0.11794746203169769,0.19346024807027637,10657245,0.068017743,0.24881695191748432,0.085594253,0.12737193458190219,5067887,0.005113224,0.005402447,0.087183958,0.010174424292500164,104377,0.000571295,0.000574959,0.082265618,0.001141937,11317,0.001633982,0.001666267,0.077772982,0.003262633,34755,0.029357487699240653,0.042902964,0.085074185,0.057040412,850446,0.00157069,0.001597112,0.086708606,0.003136453,32269,0.028362694,0.035527523,0.12329862579596018,0.055160876729960735,671516,0.053766558,0.091412283,0.11548047230543924,0.10204643105975501,1930361,0.098254108,0.099275378,0.058277025,0.10804594803809325,0.10804594803809325,0.10804594803809325
1,5,0.8270054443194209,0,0,0.8270054443194209,0.7151177909153883,0,0,0.7151177909153883,0.10861269580037469,0.031056757,0.015101329602074453,0.016755459,0.13267362962168505,0.029753344,317011,0.10810688933335023,0.5369291842355922,0.11922274471498027,0.19511996608628354,10657245,0.067141425,0.2507321601492829,0.08399398,0.12583416437529663,5067887,0.005070075,0.005367605,0.083801987,0.010088998182204054,104377,0.000543931,0.000547571,0.07563842,0.001087271,11317,0.00161332,0.00164646,0.07420515,0.003221443,34755,0.029680431,0.04375568,0.084473323,0.057649792,850446,0.001606135,0.001633491,0.087514333,0.003207119,32269,0.028488302014851304,0.035366752,0.12776315084078413,0.055398398,671516,0.053215727471042716,0.088819006,0.11719776767143555,0.10105380328647975,1930361,0.098155337,0.098648449,0.05824143,0.10861269580037469,0.10861269580037469,0.10861269580037469
1,82,0.20003217039358406,0,0,0.20003217039358406,0.41710180922610673,0,0,0.41710180922610673,0.10811048979366153,0.03105218,0.014795187,0.016453340577095386,0.12801448530177187,0.029158962040969266,317011,0.10685646309060269,0.5361802972706886,0.11773980986643359,0.19308097599617277,10657245,0.069105039,0.2534201616505064,0.086770088,0.1292764252594989,5067887,0.005162338,0.005456891,0.087289345,0.01027165,104377,0.000554011,0.0005576,0.079261288,0.001107409,11317,0.001647092,0.001679876,0.077830528,0.003288768,34755,0.029779619,0.043593580871024294,0.085904337,0.057836878,850446,0.001554294,0.001580581,0.085469026,0.003103764,32269,0.028470848,0.035571693,0.1248220444486803,0.055365397089188355,671516,0.052596903,0.089027764,0.11389424050734552,0.099937408,1930361,0.098352179,0.098699519,0.058242764,0.10811048979366153,0.10811048979366153,0.10811048979366153
1,84,0.1945293323694419,0,0,0.1945293323694419,0.3784791011546276,0,0,0.3784791011546276,0.10770758661401957,0.031028694,0.015009064447597793,0.016704015,0.12885672736908182,0.029574247114268353,317011,0.10618102723161757,0.5368787210365762,0.11688715047838348,0.19197766842440134,10657245,0.069142468,0.25280380966813504,0.086901701,0.12934191740035694,5067887,0.005126654,0.005416813,0.087346829,0.010201010366607553,104377,0.00056778,0.00057142,0.081823805,0.001134915,11317,0.001644417,0.001676947,0.078147029,0.003283435,34755,0.029673559229967856,0.043323355,0.086074836,0.057636828612281664,850446,0.001588044,0.001614624,0.087979175,0.003171052,32269,0.028541098,0.035699961,0.12459569094407281,0.055498216,671516,0.052812829011737276,0.089614493,0.11394863447821418,0.10032710004362703,1930361,0.098430416,0.099256158,0.058214638981488064,0.10770758661401957,0.10770758661401957,0.10770758661401957
1,25,0.3914175417202895,0,0,0.3914175417202895,0.4947387589503089,0,0,0.4947387589503089,0.1079736307796888,0.031025352,0.014935638076788436,0.016605181743331462,0.1293362059991609,0.029431695008936967,317011,0.10674968327381869,0.5349270516211675,0.1176706550332661,0.1929066434571691,10657245,0.068401517,0.2514201058690008,0.085894772,0.12804459065617613,5067887,0.005115326,0.00540833,0.086273796,0.010178585860412648,104377,0.000588753,0.000592564,0.083856146,0.001176813,11317,0.001665381,0.001698618,0.078434758,0.003325224,34755,0.029720605933691475,0.04349952,0.085778521,0.057725573,850446,0.001591086,0.001617927,0.087514333,0.003177118,32269,0.028399099758692273,0.03545016,0.12494117787215793,0.055229725,671516,0.05308643,0.089779197,0.11495880822291789,0.1008206511689611,1930361,0.098099866,0.099465917,0.058201661789019934,0.1079736307796888,0.1079736307796888,0.1079736307796888
1,2,1.0871069379690586,0,0,1.0871069379690586,0.9108721385093453,0,0,0.9108721385093453,0.10891177314802769,0.031024806,0.014952365772017803,0.016602081,0.13079356867742759,0.029464172,317011,0.1086398627666842,0.5400035044385322,0.11971912065454064,0.19598765372835544,10657245,0.067391577,0.25454089738804186,0.083963001,0.1262733910985294,5067887,0.005113501,0.005420188,0.082882244,0.010174971639810003,104377,0.00054436,0.000548091,0.074047893,0.001088127,11317,0.001632447,0.001666679,0.073629694,0.003259574,34755,0.029798843,0.044070231454349004,0.084265197,0.057873134,850446,0.001634497,0.001662329,0.088939849,0.003263659,32269,0.028477486848483235,0.035131143,0.1307072355684749,0.055377948885873045,671516,0.052063117,0.085755062,0.11700920190575752,0.098973371,1930361,0.098540021,0.0985957,0.0581736,0.10891177314802769,0.10891177314802769,0.10891177314802769
1,41,0.30703598777022983,0,0,0.30703598777022983,0.42940416619442184,0,0,0.42940416619442184,0.10783458649367715,0.031011856,0.015023074992444924,0.016710121990971438,0.12952862834412687,0.029601445252969733,317011,0.10638913172656823,0.5350046313128134,0.11722898366322629,0.19231774549437844,10657245,0.068745703,0.2529094707271117,0.086263565,0.12864744707028622,5067887,0.005030323,0.00531831,0.084999569,0.01001029,104377,0.000536796,0.000540287,0.076698772,0.001073015,11317,0.001583977,0.001615667,0.074723061,0.003162944,34755,0.029714194468986987,0.043486995810831035,0.085773818,0.057713479,850446,0.001548213,0.001574346,0.085314079,0.00309164,32269,0.028591341,0.035676293,0.12585254856176176,0.055593197,671516,0.052955805,0.089454228,0.11487954843679499,0.10058504784002659,1930361,0.098229035,0.098126257,0.058179625,0.10783458649367715,0.10783458649367715,0.10783458649367715
1,77,0.20350892980777652,0,0,0.20350892980777652,0.3820845537092366,0,0,0.3820845537092366,0.107779955,0.031009317,0.014936460399341517,0.016618973,0.12856651661929713,0.029433292,317011,0.10634717086395126,0.536179564,0.11712182651332498,0.19224918482126063,10657245,0.069054567,0.2530176931706399,0.086737727,0.12918810607850675,5067887,0.005044237,0.005331581,0.085583989,0.010037839948535422,104377,0.00056657,0.000570226,0.081205266,0.001132499,11317,0.001656628,0.001689526,0.078405985,0.003307775,34755,0.029872599817128923,0.043656272994685275,0.086435823,0.058012224,850446,0.001613152,0.001640183,0.089156776,0.003221108,32269,0.028402761399404466,0.035494794,0.12446017667486702,0.055236649,671516,0.052599024121211195,0.089072184,0.1138315579313921,0.099941237,1930361,0.0983271,0.099150564,0.058175991,0.107779955,0.107779955,0.107779955
1,20,0.4413678448811657,0,0,0.4413678448811657,0.5204384330408857,0,0,0.5204384330408857,0.1079683454705714,0.031007604,0.015007811267190006,0.016694966095668496,0.12930466135244517,0.029571814326144835,317011,0.1067565,0.5360511165495474,0.11762467692166222,0.19291777369575763,10657245,0.068511251,0.25286286755501963,0.0859001,0.1282368362913322,5067887,0.005013397,0.005302745,0.084146891,0.009976776,104377,0.000540818,0.000544353,0.076875497,0.001081052,11317,0.001658406,0.001691633,0.077859301,0.003311321,34755,0.029810472974214734,0.043679194,0.085829083,0.057895067,850446,0.001574295,0.001600839,0.086708606,0.00314364,32269,0.028600957207964184,0.035621819405659755,0.12672371172094188,0.055611376,671516,0.052602129,0.088563915,0.11468735640639238,0.099946841,1930361,0.098261345,0.098565988,0.058169249671902734,0.1079683454705714,0.1079683454705714,0.10796834547057138
1,30,0.3588172614475174,0,0,0.3588172614475174,0.42545633659473964,0,0,0.42545633659473964,0.10799126541684013,0.03100738,0.015002995560874506,0.016683609837215646,0.1296295712136172,0.029562466,317011,0.10668442447859353,0.5361440007259447,0.11753272069845443,0.19280008305684274,10657245,0.068642027,0.25328477411951095,0.08605697,0.12846589376872944,5067887,0.005063708,0.005356252,0.084846278,0.010076392160075368,104377,0.000561095,0.000564768,0.079438014,0.001121562,11317,0.001615383,0.001647939,0.075586247,0.003225555,34755,0.029583154261846906,0.04336739,0.085148263,0.057466275,850446,0.00161439,0.001641578,0.088815891,0.003223575,32269,0.028517678,0.03550642,0.12654947908910585,0.055453939,671516,0.052788947167403254,0.088742221,0.11527688344304511,0.10028400717814398,1930361,0.098293895,0.098888032,0.058167975,0.10799126541684013,0.10799126541684013,0.10799126541684013
